student_id,student_gender,student_age,course_name,watch_time,duration_sec,engagement,timestamp,source_file,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,_source_file,Education Level,Institution Type,IT Student,Location,Load-shedding,Financial Condition,Internet Type,Network Type,Class Duration,Self Lms,Device,Adaptivity Level,first_name,last_name,score,hours_studied,assignments_completed,participation,metadata,transcript
StudentsPerformance.csv_47,female,,,,,,,StudentsPerformance.csv,group C,high school,standard,none,66.0,71.0,76.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_48,female,,,,,,,StudentsPerformance.csv,group D,associate's degree,free/reduced,completed,57.0,74.0,76.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_49,male,,,,,,,StudentsPerformance.csv,group C,high school,standard,completed,82.0,84.0,82.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_50,male,,,,,,,StudentsPerformance.csv,group E,some college,standard,none,53.0,55.0,48.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_51,male,,,,,,,StudentsPerformance.csv,group E,associate's degree,free/reduced,completed,77.0,69.0,68.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_52,male,,,,,,,StudentsPerformance.csv,group C,some college,standard,none,53.0,44.0,42.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_53,male,,,,,,,StudentsPerformance.csv,group D,high school,standard,none,88.0,78.0,75.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_54,female,,,,,,,StudentsPerformance.csv,group C,some high school,free/reduced,completed,71.0,84.0,87.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_55,female,,,,,,,StudentsPerformance.csv,group C,high school,free/reduced,none,33.0,41.0,43.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_56,female,,,,,,,StudentsPerformance.csv,group E,associate's degree,standard,completed,82.0,85.0,86.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_57,male,,,,,,,StudentsPerformance.csv,group D,associate's degree,standard,none,52.0,55.0,49.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_58,male,,,,,,,StudentsPerformance.csv,group D,some college,standard,completed,58.0,59.0,58.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_59,female,,,,,,,StudentsPerformance.csv,group C,some high school,free/reduced,none,0.0,17.0,10.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_60,male,,,,,,,StudentsPerformance.csv,group E,bachelor's degree,free/reduced,completed,79.0,74.0,72.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_61,male,,,,,,,StudentsPerformance.csv,group A,some high school,free/reduced,none,39.0,39.0,34.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_62,male,,,,,,,StudentsPerformance.csv,group A,associate's degree,free/reduced,none,62.0,61.0,55.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_63,female,,,,,,,StudentsPerformance.csv,group C,associate's degree,standard,none,69.0,80.0,71.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_64,female,,,,,,,StudentsPerformance.csv,group D,some high school,standard,none,59.0,58.0,59.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_65,male,,,,,,,StudentsPerformance.csv,group B,some high school,standard,none,67.0,64.0,61.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_66,male,,,,,,,StudentsPerformance.csv,group D,some high school,free/reduced,none,45.0,37.0,37.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_67,female,,,,,,,StudentsPerformance.csv,group C,some college,standard,none,60.0,72.0,74.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_68,male,,,,,,,StudentsPerformance.csv,group B,associate's degree,free/reduced,none,61.0,58.0,56.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_69,female,,,,,,,StudentsPerformance.csv,group C,associate's degree,standard,none,39.0,64.0,57.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_70,female,,,,,,,StudentsPerformance.csv,group D,some college,free/reduced,completed,58.0,63.0,73.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_71,male,,,,,,,StudentsPerformance.csv,group D,some college,standard,completed,63.0,55.0,63.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_72,female,,,,,,,StudentsPerformance.csv,group A,associate's degree,free/reduced,none,41.0,51.0,48.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_73,male,,,,,,,StudentsPerformance.csv,group C,some high school,free/reduced,none,61.0,57.0,56.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_74,male,,,,,,,StudentsPerformance.csv,group C,some high school,standard,none,49.0,49.0,41.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_75,male,,,,,,,StudentsPerformance.csv,group B,associate's degree,free/reduced,none,44.0,41.0,38.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_76,male,,,,,,,StudentsPerformance.csv,group E,some high school,standard,none,30.0,26.0,22.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_77,male,,,,,,,StudentsPerformance.csv,group A,bachelor's degree,standard,completed,80.0,78.0,81.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_78,female,,,,,,,StudentsPerformance.csv,group D,some high school,standard,completed,61.0,74.0,72.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_79,female,,,,,,,StudentsPerformance.csv,group E,master's degree,standard,none,62.0,68.0,68.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_80,female,,,,,,,StudentsPerformance.csv,group B,associate's degree,standard,none,47.0,49.0,50.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_81,male,,,,,,,StudentsPerformance.csv,group B,high school,free/reduced,none,49.0,45.0,45.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_82,male,,,,,,,StudentsPerformance.csv,group A,some college,free/reduced,completed,50.0,47.0,54.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_83,male,,,,,,,StudentsPerformance.csv,group E,associate's degree,standard,none,72.0,64.0,63.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_84,male,,,,,,,StudentsPerformance.csv,group D,high school,free/reduced,none,42.0,39.0,34.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_85,female,,,,,,,StudentsPerformance.csv,group C,some college,standard,none,73.0,80.0,82.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_86,female,,,,,,,StudentsPerformance.csv,group C,some college,free/reduced,none,76.0,83.0,88.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_87,female,,,,,,,StudentsPerformance.csv,group D,associate's degree,standard,none,71.0,71.0,74.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_88,female,,,,,,,StudentsPerformance.csv,group A,some college,standard,none,58.0,70.0,67.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_89,female,,,,,,,StudentsPerformance.csv,group D,some high school,standard,none,73.0,86.0,82.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_90,female,,,,,,,StudentsPerformance.csv,group C,bachelor's degree,standard,none,65.0,72.0,74.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_91,male,,,,,,,StudentsPerformance.csv,group C,high school,free/reduced,none,27.0,34.0,36.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_92,male,,,,,,,StudentsPerformance.csv,group C,high school,standard,none,71.0,79.0,71.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_93,male,,,,,,,StudentsPerformance.csv,group C,associate's degree,free/reduced,completed,43.0,45.0,50.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_94,female,,,,,,,StudentsPerformance.csv,group B,some college,standard,none,79.0,86.0,92.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_95,male,,,,,,,StudentsPerformance.csv,group C,associate's degree,free/reduced,completed,78.0,81.0,82.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_96,male,,,,,,,StudentsPerformance.csv,group B,some high school,standard,completed,65.0,66.0,62.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_97,female,,,,,,,StudentsPerformance.csv,group E,some college,standard,completed,63.0,72.0,70.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_98,female,,,,,,,StudentsPerformance.csv,group D,some college,free/reduced,none,58.0,67.0,62.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_99,female,,,,,,,StudentsPerformance.csv,group D,bachelor's degree,standard,none,65.0,67.0,62.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_100,male,,,,,,,StudentsPerformance.csv,group B,some college,standard,none,79.0,67.0,67.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_101,male,,,,,,,StudentsPerformance.csv,group D,bachelor's degree,standard,completed,68.0,74.0,74.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_102,female,,,,,,,StudentsPerformance.csv,group D,associate's degree,standard,none,85.0,91.0,89.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_103,male,,,,,,,StudentsPerformance.csv,group B,high school,standard,completed,60.0,44.0,47.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_104,male,,,,,,,StudentsPerformance.csv,group C,some college,standard,completed,98.0,86.0,90.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_105,female,,,,,,,StudentsPerformance.csv,group C,some college,standard,none,58.0,67.0,72.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_106,female,,,,,,,StudentsPerformance.csv,group D,master's degree,standard,none,87.0,100.0,100.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_107,male,,,,,,,StudentsPerformance.csv,group E,associate's degree,standard,completed,66.0,63.0,64.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_108,female,,,,,,,StudentsPerformance.csv,group B,associate's degree,free/reduced,none,52.0,76.0,70.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_109,female,,,,,,,StudentsPerformance.csv,group B,some high school,standard,none,70.0,64.0,72.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_110,female,,,,,,,StudentsPerformance.csv,group D,associate's degree,free/reduced,completed,77.0,89.0,98.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_111,male,,,,,,,StudentsPerformance.csv,group C,high school,standard,none,62.0,55.0,49.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_112,male,,,,,,,StudentsPerformance.csv,group A,associate's degree,standard,none,54.0,53.0,47.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_113,female,,,,,,,StudentsPerformance.csv,group D,some college,standard,none,51.0,58.0,54.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_114,female,,,,,,,StudentsPerformance.csv,group E,bachelor's degree,standard,completed,99.0,100.0,100.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_115,male,,,,,,,StudentsPerformance.csv,group C,high school,standard,none,84.0,77.0,74.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_116,female,,,,,,,StudentsPerformance.csv,group B,bachelor's degree,free/reduced,none,75.0,85.0,82.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_117,female,,,,,,,StudentsPerformance.csv,group D,bachelor's degree,standard,none,78.0,82.0,79.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_118,female,,,,,,,StudentsPerformance.csv,group D,some high school,standard,none,51.0,63.0,61.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_119,female,,,,,,,StudentsPerformance.csv,group C,some college,standard,none,55.0,69.0,65.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_120,female,,,,,,,StudentsPerformance.csv,group C,bachelor's degree,standard,completed,79.0,92.0,89.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_121,male,,,,,,,StudentsPerformance.csv,group B,associate's degree,standard,completed,91.0,89.0,92.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_122,female,,,,,,,StudentsPerformance.csv,group C,some college,standard,completed,88.0,93.0,93.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_123,male,,,,,,,StudentsPerformance.csv,group D,high school,free/reduced,none,63.0,57.0,56.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_124,male,,,,,,,StudentsPerformance.csv,group E,some college,standard,none,83.0,80.0,73.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_125,female,,,,,,,StudentsPerformance.csv,group B,high school,standard,none,87.0,95.0,86.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_126,male,,,,,,,StudentsPerformance.csv,group B,some high school,standard,none,72.0,68.0,67.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_127,male,,,,,,,StudentsPerformance.csv,group D,some college,standard,completed,65.0,77.0,74.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_128,male,,,,,,,StudentsPerformance.csv,group D,master's degree,standard,none,82.0,82.0,74.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_129,female,,,,,,,StudentsPerformance.csv,group A,bachelor's degree,standard,none,51.0,49.0,51.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_130,male,,,,,,,StudentsPerformance.csv,group D,master's degree,standard,none,89.0,84.0,82.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_131,male,,,,,,,StudentsPerformance.csv,group C,some high school,free/reduced,completed,53.0,37.0,40.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_132,male,,,,,,,StudentsPerformance.csv,group E,some college,free/reduced,completed,87.0,74.0,70.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_133,female,,,,,,,StudentsPerformance.csv,group C,some college,standard,completed,75.0,81.0,84.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_134,male,,,,,,,StudentsPerformance.csv,group D,bachelor's degree,free/reduced,completed,74.0,79.0,75.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_135,male,,,,,,,StudentsPerformance.csv,group C,bachelor's degree,standard,none,58.0,55.0,48.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_136,male,,,,,,,StudentsPerformance.csv,group B,some high school,standard,completed,51.0,54.0,41.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_137,male,,,,,,,StudentsPerformance.csv,group E,high school,standard,none,70.0,55.0,56.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_138,female,,,,,,,StudentsPerformance.csv,group C,associate's degree,standard,none,59.0,66.0,67.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_139,male,,,,,,,StudentsPerformance.csv,group D,some college,standard,completed,71.0,61.0,69.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_140,female,,,,,,,StudentsPerformance.csv,group D,some high school,standard,none,76.0,72.0,71.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_141,female,,,,,,,StudentsPerformance.csv,group C,some college,free/reduced,none,59.0,62.0,64.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_142,female,,,,,,,StudentsPerformance.csv,group E,some college,free/reduced,completed,42.0,55.0,54.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_143,male,,,,,,,StudentsPerformance.csv,group A,high school,standard,none,57.0,43.0,47.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_144,male,,,,,,,StudentsPerformance.csv,group D,some college,standard,none,88.0,73.0,78.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_145,female,,,,,,,StudentsPerformance.csv,group C,some college,free/reduced,none,22.0,39.0,33.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_146,male,,,,,,,StudentsPerformance.csv,group B,some high school,standard,none,88.0,84.0,75.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
StudentsPerformance.csv_147,male,,,,,,,StudentsPerformance.csv,group C,associate's degree,free/reduced,none,73.0,68.0,66.0,StudentsPerformance.csv,,,,,,,,,,,,,,,,,,,,
